t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5.0,4.5,1.2,0.0,0.0,0.0,0.80259,-0.0,0.0,-0.59653,0.0,0.0,0.0,0,0,0,0,0,0,0.00020100425853585214,3.9799249981734666,10.088962481598603,10.158827677862297,0,0,0,0,0,0
0.012540204702088456,-5.0000079952746095,4.499985402679428,1.2011057141166164,-0.0024968508375118434,-0.004683345629378431,0.17627647515500994,0.8133844260044308,0.026345068338925966,0.0036441834453824077,-0.5811182606274531,5.999968279663835,5.999998366581471,5.999995251587341,0,0,0,0,0,0,11.117347100161217,11.117351694376065,11.01252838607173,11.222168403546336,0,0,0,0,0,0
0.025080409404176912,-5.0001758409026875,4.499654058344193,1.2059754573368384,-0.028195687881308756,-0.057009198502730736,0.5993517209852164,0.8323773809160682,0.0788509452443704,0.011377930215396216,-0.5484532494911392,5.999981076767918,5.999998180277286,5.999994512113887,0,0,0,0,0,0,11.117371022362708,11.117372286340688,11.012549775976375,11.222186721824144,0,0,0,0,0,0
0.03762061410626537,-5.00080438995565,4.498331550463163,1.2160989856596318,-0.0752237361451605,-0.16288413036554483,1.0131721496968924,0.8478373717046762,0.13102218689654604,0.019063356502774395,-0.5134603841783723,5.999984317710902,5.999997940438631,5.999992000051645,0,0,0,0,0,0,11.222060397725977,11.222072299067554,11.01389485088062,11.222190233793397,0,0,0,0,0,0
0.050160818808353824,-5.00213400954578,4.495339155986879,1.2313380100845064,-0.13921768144748456,-0.32334713482210353,1.4142123725236275,0.8595836067643664,0.1826323644468989,0.02670653329846307,-0.47649575393457205,5.999984481844594,5.999997712604877,5.92325789288225,0,0,0,0,0,0,11.222172275982535,11.222184314985881,11.016551747540506,11.222182278955158,0,0,0,0,0,0
0.06270102351044228,-5.0043453949570065,4.489998175188778,1.2514799839307862,-0.21501587197984967,-0.5372705251265109,1.7941948234386977,0.8674844564556743,0.23346147422977903,0.034324569719574934,-0.4379363900977261,5.999986150020006,5.999997324503931,5.8474182149452885,0,0,0,0,0,0,11.222180196765443,11.222191396056113,11.01916519769789,11.222162121326424,0,0,0,0,0,0
0.07524122821253074,-5.007554776735312,4.481646962929453,1.2762264373406145,-0.29753013451626154,-0.8031080036790524,2.1476988399544883,0.8715580231825388,0.28330033042913605,0.04190954959440457,-0.39795869717557597,5.9999863608482364,5.999996806713011,5.772529486798102,0,0,0,0,0,0,11.222182314655425,11.222193811642557,11.021687233698302,11.2220838820878,0,0,0,0,0,0
0.08778143291461919,-5.011814121273174,4.469648800250649,1.3052135854118685,-0.38161373878269766,-1.1184378151152568,2.469741772502099,0.8718382687703935,0.3319472647273887,0.049453147465416646,-0.35674000722264354,5.999988322880182,5.9999963486738555,5.6985404310309375,0,0,0,0,0,0,11.222109816456435,11.222195953964516,7.737863755804812,7.8928598052360766,0,0,0,0,0,0
0.10032163761670765,-5.017034974101321,4.453731292818233,1.33763279515773,-0.4502445815786911,-1.4264918681342005,2.6952962441988007,0.8659049374901624,0.3788289835117121,0.05969764309496913,-0.32114394263405716,5.999379588793748,5.9999935516047165,3.185489970438757,0,0,0,0,0,0,11.222194917017736,11.222188253590396,0.03343706060582952,0.0005320342671369356,0,0,0,0,0,0
0.1128618423187961,-5.022915340904739,4.434590263443477,1.3718474268260885,-0.48694610024967633,-1.629608591443118,2.7579520189240454,0.8464463335092273,0.4222619100392137,0.08300013465442514,-0.31358326081946486,5.999961485483335,5.999994037533636,-5.080132969804874,0,0,0,0,0,0,11.222196182435681,11.222172897928408,11.221491249604588,11.042822074966834,0,0,0,0,0,0
0.12540204702088456,-5.029437444970537,4.411422279965074,1.407747093928676,-0.5521857876887563,-2.07124979383791,2.959817163399042,0.8157720941179305,0.46239842508620743,0.11640852652346732,-0.3273417814591911,5.999920708992195,5.999993126719627,-5.146542853199854,0,0,0,0,0,0,11.222196588080717,11.222110409174604,11.222092341810427,11.041037301649702,0,0,0,0,0,0
0.13794225172297303,-5.03674406479662,4.382506329496805,1.4458774956392928,-0.6125737437483565,-2.54543954758986,3.11307549173166,0.781804141369943,0.5006956749787441,0.14955949671033741,-0.34017360646901573,5.999697375460538,5.999991617470125,-5.213366415081453,0,0,0,0,0,0,11.222196654133722,9.394201134746313,11.222151034905451,9.293548190076512,0,0,0,0,0,0
0.15048245642506147,-5.044751996358465,4.347722338529998,1.485501804417649,-0.6625638237169735,-3.0052578943309123,3.20023258403482,0.7535804363147242,0.5240993636493786,0.1880492667201771,-0.3493906929384848,0.6114870105349371,5.999989529124587,-5.250507021095809,0,0,0,0,0,0,11.22219652963168,9.750322242047796,11.222167940337856,9.794116852826109,0,0,0,0,0,0
0.16302266112714991,-5.053270950402517,4.307014462346614,1.5260472997153312,-0.6906225003756702,-3.488761943835952,3.262782697047006,0.7388273375391642,0.5236471047479904,0.23645905934538927,-0.3521576184712573,-3.484570955204238,5.999985320490937,-5.234364819083705,0,0,0,0,0,0,11.222196399348457,11.118081524767227,11.222166732225894,11.222091084725845,0,0,0,0,0,0
